"minimal_nb_activities","mode_nb_activities","maximal_nb_activities","nb_trees","silent_probability","long_term_dependency","duplicate_activities","include_infrequent_paths","config","sequence_probability","parallel_probability","xor_probability","or_probability","loop_probability","select_repeated_operator","selected_operator_probability","use_manual_distribution_for_experimental_setting","seed","noise_percentage","noise_type","noise_seed","noise_event_percentage","log_name","net_name","nb_unique_paths"
150.0,200.0,250.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.0,"Random (add/remove/swap task)",1.0,0.0,"net1-0-0","net1","42651492557951700000.000"
150.0,200.0,260.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.0,"Random (add/remove/swap task)",1.0,0.0,"net2-0-0","net2","98955962592192920000.000"
150.0,200.0,270.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.0,"Random (add/remove/swap task)",1.0,0.0,"net3-0-0","net3","330168135303827200000.000"
150.0,200.0,280.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.0,"Random (add/remove/swap task)",1.0,0.0,"net4-0-0","net4","745609184791782000000.000"
150.0,200.0,290.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.0,"Random (add/remove/swap task)",1.0,0.0,"net5-0-0","net5","1193475104515704800000.000"
150.0,200.0,250.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.1,"Random (add/remove/swap task)",1.0,0.1,"net1-10-10","net1","42651492557951700000.000"
150.0,200.0,260.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.1,"Random (add/remove/swap task)",1.0,0.1,"net2-10-10","net2","98955962592192920000.000"
150.0,200.0,270.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.1,"Random (add/remove/swap task)",1.0,0.1,"net3-10-10","net3","330168135303827200000.000"
150.0,200.0,280.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.1,"Random (add/remove/swap task)",1.0,0.1,"net4-10-10","net4","745609184791782000000.000"
150.0,200.0,290.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.1,"Random (add/remove/swap task)",1.0,0.1,"net5-10-10","net5","1193475104515704800000.000"
150.0,200.0,250.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.1,"Random (add/remove/swap task)",1.0,0.6,"net1-10-60","net1","42651492557951700000.000"
150.0,200.0,260.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.1,"Random (add/remove/swap task)",1.0,0.6,"net2-10-60","net2","98955962592192920000.000"
150.0,200.0,270.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.1,"Random (add/remove/swap task)",1.0,0.6,"net3-10-60","net3","330168135303827200000.000"
150.0,200.0,280.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.1,"Random (add/remove/swap task)",1.0,0.6,"net4-10-60","net4","745609184791782000000.000"
150.0,200.0,290.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.1,"Random (add/remove/swap task)",1.0,0.6,"net5-10-60","net5","1193475104515704800000.000"
150.0,200.0,250.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.6,"Random (add/remove/swap task)",1.0,0.1,"net1-60-10","net1","42651492557951700000.000"
150.0,200.0,260.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.6,"Random (add/remove/swap task)",1.0,0.1,"net2-60-10","net2","98955962592192920000.000"
150.0,200.0,270.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.6,"Random (add/remove/swap task)",1.0,0.1,"net3-60-10","net3","330168135303827200000.000"
150.0,200.0,280.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.6,"Random (add/remove/swap task)",1.0,0.1,"net4-60-10","net4","745609184791782000000.000"
150.0,200.0,290.0,1.0,0.0,0.0,0.0,0.0,"Manual",0.46,0.1,0.35,0.0,0.09,"Parallel and loop",0.4,"true",1.0,0.6,"Random (add/remove/swap task)",1.0,0.1,"net5-60-10","net5","1193475104515704800000.000"
